,ID,Date,Company,Title,Link
155,WgfKhZsvVHqpUeVZGRIaYQ==,10/8/2021,Grab,"associate, business performance management",https://vn.linkedin.com/jobs/view/associate-business-performance-management-at-grab-2743100552?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=WgfKhZsvVHqpUeVZGRIaYQ%3D%3D&position=17&pageNum=5&trk=public_jobs_jserp-result_search-card
156,,9/22/2021,Deliveree Vietnam,data engineer (junior - middle),https://vn.linkedin.com/jobs/view/data-engineer-junior-middle-at-deliveree-vietnam-2763426960?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=WUUGZElQxUXat1gxcW5tXA%3D%3D&position=19&pageNum=5&trk=public_jobs_jserp-result_search-card
157,RYQ/OY2niV96tsrzg8daLw==,10/6/2021,Shopee,fraud associate,https://vn.linkedin.com/jobs/view/fraud-associate-at-shopee-2780592758?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=RYQ%2FOY2niV96tsrzg8daLw%3D%3D&position=21&pageNum=5&trk=public_jobs_jserp-result_search-card
158,CRYCsug0L3fqZ6SkgfRPvw==,9/19/2021,Shopee,campaign - research team lead,https://vn.linkedin.com/jobs/view/campaign-research-team-lead-at-shopee-2756437283?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=CRYCsug0L3fqZ6SkgfRPvw%3D%3D&position=22&pageNum=5&trk=public_jobs_jserp-result_search-card
159,YaGgeL+d6Sew2xmT25hUoQ==,9/18/2021,TIKI Corporation,"data engineer, fna",https://vn.linkedin.com/jobs/view/data-engineer-fna-at-tiki-corporation-2755059893?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=YaGgeL%2Bd6Sew2xmT25hUoQ%3D%3D&position=24&pageNum=5&trk=public_jobs_jserp-result_search-card
160,Yr1YFe8pgg/arK9U8eOqRw==,10/18/2021,Shopee,"senior associate, client insights",https://vn.linkedin.com/jobs/view/senior-associate-client-insights-at-shopee-2729603386?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=Yr1YFe8pgg%2FarK9U8eOqRw%3D%3D&position=25&pageNum=5&trk=public_jobs_jserp-result_search-card
161,v8d3FLQ/pxvRIIjjlcXDuA==,11/1/2021,40HRS,big data engineer,https://vn.linkedin.com/jobs/view/big-data-engineer-at-40hrs-2773789937?refId=LanU62xsz6QR7ltaoGagzw%3D%3D&trackingId=v8d3FLQ%2FpxvRIIjjlcXDuA%3D%3D&position=1&pageNum=6&trk=public_jobs_jserp-result_search-card
162,Fr/8o1T+PeJJPJjCf3FoPw==,10/5/2021,Boston Consulting Group (BCG),digitalbcg | das consultants,https://vn.linkedin.com/jobs/view/digitalbcg-das-consultants-at-boston-consulting-group-bcg-2737695467?refId=LanU62xsz6QR7ltaoGagzw%3D%3D&trackingId=Fr%2F8o1T%2BPeJJPJjCf3FoPw%3D%3D&position=3&pageNum=6&trk=public_jobs_jserp-result_search-card
163,xxzlKkpJxn0DWqDwMGrM2Q==,10/17/2021,"QuantumBlack, a McKinsey company",data scientist - quantumblack - ho chi minh city based,https://vn.linkedin.com/jobs/view/data-scientist-quantumblack-ho-chi-minh-city-based-at-quantumblack-a-mckinsey-company-2679904123?refId=LanU62xsz6QR7ltaoGagzw%3D%3D&trackingId=xxzlKkpJxn0DWqDwMGrM2Q%3D%3D&position=7&pageNum=6&trk=public_jobs_jserp-result_search-card
164,v8iRg2zgqZaR7DmiRf4EKA==,10/27/2021,Isentia,research analyst - freelance,https://vn.linkedin.com/jobs/view/research-analyst-freelance-at-isentia-2768829402?refId=LanU62xsz6QR7ltaoGagzw%3D%3D&trackingId=v8iRg2zgqZaR7DmiRf4EKA%3D%3D&position=9&pageNum=6&trk=public_jobs_jserp-result_search-card
